loc,lat,lng,Arrest Count,restaurant,school,bus_station,atm,supermarket,park,gym,hospital
"41.98,-87.65",41.98,-87.65,1126.0,20,20,5,20,6,20,20,17
"41.98,-87.66",41.98,-87.66,5695.0,20,20,4,20,7,20,20,15
"41.98,-87.67",41.98,-87.67,1612.0,20,20,5,20,7,20,20,11
"41.98,-87.68",41.98,-87.68,1379.0,20,20,5,20,4,20,20,10
"41.98,-87.69",41.98,-87.69,2196.0,20,20,9,20,4,20,20,19
"41.98,-87.7",41.98,-87.7,1027.0,20,20,4,20,6,20,9,20
"41.98,-87.71",41.98,-87.71,1092.0,20,20,2,20,5,20,12,20
"41.98,-87.72",41.98,-87.72,142.0,20,20,2,20,5,20,12,5
"41.98,-87.73",41.98,-87.73,543.0,20,20,3,20,4,20,13,3
"41.98,-87.74",41.98,-87.74,86.0,20,20,3,20,3,16,10,4
"41.98,-87.75",41.98,-87.75,294.0,20,20,9,20,2,16,8,3
"41.98,-87.76",41.98,-87.76,445.0,20,20,6,20,2,17,7,7
"41.98,-87.77",41.98,-87.77,972.0,20,20,6,20,0,13,8,4
"41.98,-87.78",41.98,-87.78,339.0,20,20,2,20,1,7,8,3
"41.98,-87.79",41.98,-87.79,951.0,20,20,4,20,1,10,7,3
"41.98,-87.8",41.98,-87.8,284.0,20,20,3,20,0,14,11,12
"41.98,-87.81",41.98,-87.81,536.0,20,20,3,18,1,11,9,12
"41.98,-87.82",41.98,-87.82,174.0,20,20,3,20,0,6,9,15
"41.98,-87.83",41.98,-87.83,37.0,20,20,2,20,0,8,9,18
"41.98,-87.84",41.98,-87.84,705.0,20,20,1,20,0,5,6,5
"41.98,-87.85",41.98,-87.85,209.0,20,16,3,20,0,6,9,4
"41.98,-87.86",41.98,-87.86,3.0,20,13,5,20,0,5,5,4
"41.98,-87.88",41.98,-87.88,162.0,20,3,5,10,0,3,0,0
"41.98,-87.89",41.98,-87.89,65.0,20,1,7,8,2,5,0,0
"41.98,-87.9",41.98,-87.9,1454.0,20,1,7,10,2,3,0,0
"41.98,-87.91",41.98,-87.91,4715.0,20,1,4,9,2,3,0,0
"41.99,-87.65",41.99,-87.65,34.0,20,20,2,20,5,20,20,12
"41.99,-87.66",41.99,-87.66,5857.0,20,20,3,20,7,20,20,14
"41.99,-87.67",41.99,-87.67,1943.0,20,20,3,20,9,20,20,15
"41.99,-87.68",41.99,-87.68,1115.0,20,20,5,20,10,20,20,6
"41.99,-87.69",41.99,-87.69,1533.0,20,20,4,20,10,16,8,9
"41.99,-87.7",41.99,-87.7,2275.0,20,20,11,20,10,13,5,12
"41.99,-87.71",41.99,-87.71,1597.0,20,20,9,20,4,18,9,7
"41.99,-87.72",41.99,-87.72,208.0,20,20,8,20,1,20,10,4
"41.99,-87.73",41.99,-87.73,303.0,20,20,6,20,1,15,11,5
"41.99,-87.74",41.99,-87.74,151.0,14,16,4,9,1,11,10,2
"41.99,-87.75",41.99,-87.75,259.0,20,16,4,14,1,12,10,3
"41.99,-87.76",41.99,-87.76,31.0,20,20,5,17,1,14,8,5
"41.99,-87.77",41.99,-87.77,162.0,20,20,1,20,0,16,5,3
"41.99,-87.78",41.99,-87.78,465.0,20,20,2,20,1,19,7,3
"41.99,-87.79",41.99,-87.79,522.0,20,20,1,20,1,18,8,0
"41.99,-87.8",41.99,-87.8,175.0,20,20,4,20,1,17,8,11
"41.99,-87.81",41.99,-87.81,250.0,20,20,3,20,0,18,12,12
"41.99,-87.82",41.99,-87.82,59.0,20,20,3,20,0,15,12,12
"41.99,-87.83",41.99,-87.83,55.0,20,20,0,20,0,8,7,15
"41.99,-87.84",41.99,-87.84,80.0,20,20,0,20,0,8,7,4
"41.99,-87.85",41.99,-87.85,3.0,20,18,2,20,0,9,7,6
"41.99,-87.88",41.99,-87.88,46.0,20,6,1,17,0,6,2,2
"41.99,-87.89",41.99,-87.89,11.0,20,1,0,5,0,4,1,1
"41.99,-87.91",41.99,-87.91,1.0,20,1,4,8,2,1,0,0
"41.99,-87.92",41.99,-87.92,8.0,19,0,0,2,0,1,0,0
"41.99,-87.93",41.99,-87.93,5.0,1,0,0,2,1,0,0,0
"42.0,-87.65",42.0,-87.65,0.0,20,20,0,20,6,20,17,7
"42.0,-87.66",42.0,-87.66,2663.0,20,20,1,20,9,20,20,9
"42.0,-87.67",42.0,-87.67,4403.0,20,20,2,20,14,20,20,10
"42.0,-87.68",42.0,-87.68,1567.0,20,20,4,20,16,20,20,13
"42.0,-87.69",42.0,-87.69,2745.0,20,20,5,20,11,20,9,10
"42.0,-87.7",42.0,-87.7,1842.0,20,20,10,20,10,20,9,13
"42.0,-87.71",42.0,-87.71,422.0,20,20,10,20,9,20,9,9
"42.0,-87.72",42.0,-87.72,134.0,20,20,9,20,4,20,11,6
"42.0,-87.73",42.0,-87.73,37.0,20,20,5,20,2,20,11,5
"42.0,-87.74",42.0,-87.74,16.0,20,20,4,20,1,17,12,2
"42.0,-87.75",42.0,-87.75,27.0,20,19,5,17,1,16,10,3
"42.0,-87.76",42.0,-87.76,128.0,20,19,5,19,1,18,11,4
"42.0,-87.77",42.0,-87.77,63.0,20,20,5,20,2,17,6,1
"42.0,-87.78",42.0,-87.78,36.0,20,20,3,20,3,16,4,1
"42.0,-87.79",42.0,-87.79,465.0,20,20,1,20,2,19,11,2
"42.0,-87.8",42.0,-87.8,122.0,20,20,1,20,2,20,14,3
"42.0,-87.81",42.0,-87.81,311.0,20,20,0,20,1,17,12,14
"42.0,-87.82",42.0,-87.82,249.0,20,20,0,20,2,12,13,11
"42.0,-87.88",42.0,-87.88,5.0,20,16,1,20,1,9,5,3
"42.0,-87.89",42.0,-87.89,3.0,20,8,0,15,1,9,2,2
"42.0,-87.91",42.0,-87.91,2.0,5,0,0,5,0,0,0,1
"42.0,-87.92",42.0,-87.92,0.0,1,0,0,4,0,0,0,0
"42.0,-87.93",42.0,-87.93,0.0,5,0,0,4,1,0,0,1
"42.0,-87.94",42.0,-87.94,0.0,10,3,0,5,1,0,0,1
"42.01,-87.66",42.01,-87.66,2664.0,20,20,3,20,9,20,20,8
"42.01,-87.67",42.01,-87.67,7404.0,20,20,4,20,10,20,20,9
"42.01,-87.68",42.01,-87.68,2040.0,20,20,5,20,12,20,20,9
"42.01,-87.69",42.01,-87.69,1121.0,20,20,4,20,11,20,12,10
"42.01,-87.7",42.01,-87.7,438.0,20,20,8,20,9,20,10,7
"42.01,-87.71",42.01,-87.71,90.0,20,20,6,20,6,20,7,5
"42.01,-87.76",42.01,-87.76,5.0,20,20,4,20,2,15,6,4
"42.01,-87.77",42.01,-87.77,14.0,20,20,3,20,4,13,8,2
"42.01,-87.78",42.01,-87.78,62.0,20,20,3,20,4,12,13,1
"42.01,-87.79",42.01,-87.79,29.0,20,20,1,20,3,16,15,3
"42.01,-87.81",42.01,-87.81,149.0,20,20,0,20,4,12,13,3
"42.01,-87.82",42.01,-87.82,90.0,20,20,1,20,3,13,14,2
"42.01,-87.9",42.01,-87.9,3.0,20,8,0,19,2,7,4,2
"42.01,-87.91",42.01,-87.91,5.0,9,3,0,7,0,2,3,1
"42.01,-87.93",42.01,-87.93,6.0,5,3,0,2,1,1,2,1
"42.02,-87.66",42.02,-87.66,222.0,20,20,2,19,6,20,16,3
"42.02,-87.67",42.02,-87.67,8318.0,20,20,3,20,8,20,20,14
"42.02,-87.68",42.02,-87.68,5269.0,20,20,4,20,8,20,18,16
"42.02,-87.69",42.02,-87.69,827.0,20,20,3,20,10,20,13,15
"42.02,-87.7",42.02,-87.7,116.0,20,20,3,20,6,20,11,15
"42.02,-87.71",42.02,-87.71,29.0,20,20,2,20,4,20,10,5
"42.02,-87.78",42.02,-87.78,1.0,20,16,1,20,4,12,12,1
"42.02,-87.81",42.02,-87.81,83.0,20,20,1,18,5,18,9,5
"42.02,-87.82",42.02,-87.82,21.0,20,20,2,20,6,11,14,4
